run_dir,radius_m,dynamics,kf,present_phase_count,missing_phases,present_table_path,complete_grid_table_filename
Training_Policy_0.1u_1vmax_0.05_icVmax,20,hcw,off,4,,Training_Policy_0.1u_1vmax_0.05_icVmax/r20m__hcw__kf_off.tex,training-policy-0-1u-1vmax-0-05-icvmax__r20m__hcw__kf_off.tex
Training_Policy_0.1u_1vmax_0.05_icVmax,20,hcw,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-1u-1vmax-0-05-icvmax__r20m__hcw__kf_on.tex
Training_Policy_0.1u_1vmax_0.05_icVmax,20,elliptic_ltv,off,4,,Training_Policy_0.1u_1vmax_0.05_icVmax/r20m__elliptic_ltv__kf_off.tex,training-policy-0-1u-1vmax-0-05-icvmax__r20m__elliptic_ltv__kf_off.tex
Training_Policy_0.1u_1vmax_0.05_icVmax,20,elliptic_ltv,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-1u-1vmax-0-05-icvmax__r20m__elliptic_ltv__kf_on.tex
Training_Policy_0.1u_1vmax_0.05_icVmax,50,hcw,off,4,,Training_Policy_0.1u_1vmax_0.05_icVmax/r50m__hcw__kf_off.tex,training-policy-0-1u-1vmax-0-05-icvmax__r50m__hcw__kf_off.tex
Training_Policy_0.1u_1vmax_0.05_icVmax,50,hcw,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-1u-1vmax-0-05-icvmax__r50m__hcw__kf_on.tex
Training_Policy_0.1u_1vmax_0.05_icVmax,50,elliptic_ltv,off,4,,Training_Policy_0.1u_1vmax_0.05_icVmax/r50m__elliptic_ltv__kf_off.tex,training-policy-0-1u-1vmax-0-05-icvmax__r50m__elliptic_ltv__kf_off.tex
Training_Policy_0.1u_1vmax_0.05_icVmax,50,elliptic_ltv,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-1u-1vmax-0-05-icvmax__r50m__elliptic_ltv__kf_on.tex
Training_Policy_0.1u_1vmax_0.05_icVmax,100,hcw,off,4,,Training_Policy_0.1u_1vmax_0.05_icVmax/r100m__hcw__kf_off.tex,training-policy-0-1u-1vmax-0-05-icvmax__r100m__hcw__kf_off.tex
Training_Policy_0.1u_1vmax_0.05_icVmax,100,hcw,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-1u-1vmax-0-05-icvmax__r100m__hcw__kf_on.tex
Training_Policy_0.1u_1vmax_0.05_icVmax,100,elliptic_ltv,off,4,,Training_Policy_0.1u_1vmax_0.05_icVmax/r100m__elliptic_ltv__kf_off.tex,training-policy-0-1u-1vmax-0-05-icvmax__r100m__elliptic_ltv__kf_off.tex
Training_Policy_0.1u_1vmax_0.05_icVmax,100,elliptic_ltv,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-1u-1vmax-0-05-icvmax__r100m__elliptic_ltv__kf_on.tex
Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON,20,hcw,off,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-1u-1vmax-0-05-icvmax-kf-on__r20m__hcw__kf_off.tex
Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON,20,hcw,on,4,,Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON/r20m__hcw__kf_on.tex,training-policy-0-1u-1vmax-0-05-icvmax-kf-on__r20m__hcw__kf_on.tex
Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON,20,elliptic_ltv,off,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-1u-1vmax-0-05-icvmax-kf-on__r20m__elliptic_ltv__kf_off.tex
Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON,20,elliptic_ltv,on,3,def2/att2,Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON/r20m__elliptic_ltv__kf_on.tex,training-policy-0-1u-1vmax-0-05-icvmax-kf-on__r20m__elliptic_ltv__kf_on.tex
Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON,50,hcw,off,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-1u-1vmax-0-05-icvmax-kf-on__r50m__hcw__kf_off.tex
Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON,50,hcw,on,4,,Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON/r50m__hcw__kf_on.tex,training-policy-0-1u-1vmax-0-05-icvmax-kf-on__r50m__hcw__kf_on.tex
Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON,50,elliptic_ltv,off,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-1u-1vmax-0-05-icvmax-kf-on__r50m__elliptic_ltv__kf_off.tex
Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON,50,elliptic_ltv,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-1u-1vmax-0-05-icvmax-kf-on__r50m__elliptic_ltv__kf_on.tex
Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON,100,hcw,off,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-1u-1vmax-0-05-icvmax-kf-on__r100m__hcw__kf_off.tex
Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON,100,hcw,on,4,,Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON/r100m__hcw__kf_on.tex,training-policy-0-1u-1vmax-0-05-icvmax-kf-on__r100m__hcw__kf_on.tex
Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON,100,elliptic_ltv,off,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-1u-1vmax-0-05-icvmax-kf-on__r100m__elliptic_ltv__kf_off.tex
Training_Policy_0.1u_1vmax_0.05_icVmax_KF_ON,100,elliptic_ltv,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-1u-1vmax-0-05-icvmax-kf-on__r100m__elliptic_ltv__kf_on.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax,20,hcw,off,4,,Training_Policy_0.5u_1.5vmax_1.0_icVmax/r20m__hcw__kf_off.tex,training-policy-0-5u-1-5vmax-1-0-icvmax__r20m__hcw__kf_off.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax,20,hcw,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-5u-1-5vmax-1-0-icvmax__r20m__hcw__kf_on.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax,20,elliptic_ltv,off,4,,Training_Policy_0.5u_1.5vmax_1.0_icVmax/r20m__elliptic_ltv__kf_off.tex,training-policy-0-5u-1-5vmax-1-0-icvmax__r20m__elliptic_ltv__kf_off.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax,20,elliptic_ltv,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-5u-1-5vmax-1-0-icvmax__r20m__elliptic_ltv__kf_on.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax,50,hcw,off,4,,Training_Policy_0.5u_1.5vmax_1.0_icVmax/r50m__hcw__kf_off.tex,training-policy-0-5u-1-5vmax-1-0-icvmax__r50m__hcw__kf_off.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax,50,hcw,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-5u-1-5vmax-1-0-icvmax__r50m__hcw__kf_on.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax,50,elliptic_ltv,off,4,,Training_Policy_0.5u_1.5vmax_1.0_icVmax/r50m__elliptic_ltv__kf_off.tex,training-policy-0-5u-1-5vmax-1-0-icvmax__r50m__elliptic_ltv__kf_off.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax,50,elliptic_ltv,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-5u-1-5vmax-1-0-icvmax__r50m__elliptic_ltv__kf_on.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax,100,hcw,off,4,,Training_Policy_0.5u_1.5vmax_1.0_icVmax/r100m__hcw__kf_off.tex,training-policy-0-5u-1-5vmax-1-0-icvmax__r100m__hcw__kf_off.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax,100,hcw,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-5u-1-5vmax-1-0-icvmax__r100m__hcw__kf_on.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax,100,elliptic_ltv,off,4,,Training_Policy_0.5u_1.5vmax_1.0_icVmax/r100m__elliptic_ltv__kf_off.tex,training-policy-0-5u-1-5vmax-1-0-icvmax__r100m__elliptic_ltv__kf_off.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax,100,elliptic_ltv,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-5u-1-5vmax-1-0-icvmax__r100m__elliptic_ltv__kf_on.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax_KF_ON,20,hcw,off,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-5u-1-5vmax-1-0-icvmax-kf-on__r20m__hcw__kf_off.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax_KF_ON,20,hcw,on,4,,Training_Policy_0.5u_1.5vmax_1.0_icVmax_KF_ON/r20m__hcw__kf_on.tex,training-policy-0-5u-1-5vmax-1-0-icvmax-kf-on__r20m__hcw__kf_on.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax_KF_ON,20,elliptic_ltv,off,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-5u-1-5vmax-1-0-icvmax-kf-on__r20m__elliptic_ltv__kf_off.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax_KF_ON,20,elliptic_ltv,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-5u-1-5vmax-1-0-icvmax-kf-on__r20m__elliptic_ltv__kf_on.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax_KF_ON,50,hcw,off,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-5u-1-5vmax-1-0-icvmax-kf-on__r50m__hcw__kf_off.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax_KF_ON,50,hcw,on,1,def1/att1;def1/att2;def2/att2,Training_Policy_0.5u_1.5vmax_1.0_icVmax_KF_ON/r50m__hcw__kf_on.tex,training-policy-0-5u-1-5vmax-1-0-icvmax-kf-on__r50m__hcw__kf_on.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax_KF_ON,50,elliptic_ltv,off,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-5u-1-5vmax-1-0-icvmax-kf-on__r50m__elliptic_ltv__kf_off.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax_KF_ON,50,elliptic_ltv,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-5u-1-5vmax-1-0-icvmax-kf-on__r50m__elliptic_ltv__kf_on.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax_KF_ON,100,hcw,off,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-5u-1-5vmax-1-0-icvmax-kf-on__r100m__hcw__kf_off.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax_KF_ON,100,hcw,on,4,,Training_Policy_0.5u_1.5vmax_1.0_icVmax_KF_ON/r100m__hcw__kf_on.tex,training-policy-0-5u-1-5vmax-1-0-icvmax-kf-on__r100m__hcw__kf_on.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax_KF_ON,100,elliptic_ltv,off,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-5u-1-5vmax-1-0-icvmax-kf-on__r100m__elliptic_ltv__kf_off.tex
Training_Policy_0.5u_1.5vmax_1.0_icVmax_KF_ON,100,elliptic_ltv,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-0-5u-1-5vmax-1-0-icvmax-kf-on__r100m__elliptic_ltv__kf_on.tex
Training_Policy_2.0u_1vmax_1.0_icVmax,20,hcw,off,4,,Training_Policy_2.0u_1vmax_1.0_icVmax/r20m__hcw__kf_off.tex,training-policy-2-0u-1vmax-1-0-icvmax__r20m__hcw__kf_off.tex
Training_Policy_2.0u_1vmax_1.0_icVmax,20,hcw,on,0,def0/att1;def1/att1;def1/att2;def2/att2,,training-policy-2-0u-1vmax-1-0-icvmax__r20m__hcw__kf_on.tex
